Ticker,SecurityType,Name,Sector,Industry,Country,Currency,Date,Close
ACGL,EQUITY,Arch Capital Group Ltd.,Financial Services,Insurance - Diversified,Bermuda,USD,2018-10-31,26.976991653442383
ACGL,EQUITY,Arch Capital Group Ltd.,Financial Services,Insurance - Diversified,Bermuda,USD,2018-11-30,27.2147159576416
ACGL,EQUITY,Arch Capital Group Ltd.,Financial Services,Insurance - Diversified,Bermuda,USD,2018-12-31,25.408008575439453
ACGL,EQUITY,Arch Capital Group Ltd.,Financial Services,Insurance - Diversified,Bermuda,USD,2019-01-31,27.908872604370117
ACGL,EQUITY,Arch Capital Group Ltd.,Financial Services,Insurance - Diversified,Bermuda,USD,2019-02-28,31.065853118896484
ACGL,EQUITY,Arch Capital Group Ltd.,Financial Services,Insurance - Diversified,Bermuda,USD,2019-03-29,30.73303985595703
ACGL,EQUITY,Arch Capital Group Ltd.,Financial Services,Insurance - Diversified,Bermuda,USD,2019-04-30,32.1213493347168
ACGL,EQUITY,Arch Capital Group Ltd.,Financial Services,Insurance - Diversified,Bermuda,USD,2019-05-31,32.739437103271484
ACGL,EQUITY,Arch Capital Group Ltd.,Financial Services,Insurance - Diversified,Bermuda,USD,2019-06-28,35.25931930541992
ACGL,EQUITY,Arch Capital Group Ltd.,Financial Services,Insurance - Diversified,Bermuda,USD,2019-07-31,36.79026412963867
ACGL,EQUITY,Arch Capital Group Ltd.,Financial Services,Insurance - Diversified,Bermuda,USD,2019-08-30,37.56049346923828
ACGL,EQUITY,Arch Capital Group Ltd.,Financial Services,Insurance - Diversified,Bermuda,USD,2019-09-30,39.91872024536133
ACGL,EQUITY,Arch Capital Group Ltd.,Financial Services,Insurance - Diversified,Bermuda,USD,2019-10-31,39.70952224731445
ACGL,EQUITY,Arch Capital Group Ltd.,Financial Services,Insurance - Diversified,Bermuda,USD,2019-11-29,39.90921401977539
ACGL,EQUITY,Arch Capital Group Ltd.,Financial Services,Insurance - Diversified,Bermuda,USD,2019-12-31,40.78403854370117
ACGL,EQUITY,Arch Capital Group Ltd.,Financial Services,Insurance - Diversified,Bermuda,USD,2020-01-31,41.99168014526367
ACGL,EQUITY,Arch Capital Group Ltd.,Financial Services,Insurance - Diversified,Bermuda,USD,2020-02-28,38.444828033447266
ACGL,EQUITY,Arch Capital Group Ltd.,Financial Services,Insurance - Diversified,Bermuda,USD,2020-03-31,27.062570571899414
ACGL,EQUITY,Arch Capital Group Ltd.,Financial Services,Insurance - Diversified,Bermuda,USD,2020-04-30,22.8500919342041
ACGL,EQUITY,Arch Capital Group Ltd.,Financial Services,Insurance - Diversified,Bermuda,USD,2020-05-29,26.8343563079834
ACGL,EQUITY,Arch Capital Group Ltd.,Financial Services,Insurance - Diversified,Bermuda,USD,2020-06-30,27.243242263793945
ACGL,EQUITY,Arch Capital Group Ltd.,Financial Services,Insurance - Diversified,Bermuda,USD,2020-07-31,29.240129470825195
ACGL,EQUITY,Arch Capital Group Ltd.,Financial Services,Insurance - Diversified,Bermuda,USD,2020-08-31,29.99134063720703
ACGL,EQUITY,Arch Capital Group Ltd.,Financial Services,Insurance - Diversified,Bermuda,USD,2020-09-30,27.81378173828125
ACGL,EQUITY,Arch Capital Group Ltd.,Financial Services,Insurance - Diversified,Bermuda,USD,2020-10-30,28.72664451599121
ACGL,EQUITY,Arch Capital Group Ltd.,Financial Services,Insurance - Diversified,Bermuda,USD,2020-11-30,30.618932723999023
ACGL,EQUITY,Arch Capital Group Ltd.,Financial Services,Insurance - Diversified,Bermuda,USD,2020-12-31,34.29890823364258
ACGL,EQUITY,Arch Capital Group Ltd.,Financial Services,Insurance - Diversified,Bermuda,USD,2021-01-29,29.86772346496582
ACGL,EQUITY,Arch Capital Group Ltd.,Financial Services,Insurance - Diversified,Bermuda,USD,2021-02-26,34.06118392944336
ACGL,EQUITY,Arch Capital Group Ltd.,Financial Services,Insurance - Diversified,Bermuda,USD,2021-03-31,36.48597717285156
ACGL,EQUITY,Arch Capital Group Ltd.,Financial Services,Insurance - Diversified,Bermuda,USD,2021-04-30,37.76018142700195
ACGL,EQUITY,Arch Capital Group Ltd.,Financial Services,Insurance - Diversified,Bermuda,USD,2021-05-28,37.93134307861328
ACGL,EQUITY,Arch Capital Group Ltd.,Financial Services,Insurance - Diversified,Bermuda,USD,2021-06-30,37.02798843383789
ACGL,EQUITY,Arch Capital Group Ltd.,Financial Services,Insurance - Diversified,Bermuda,USD,2021-07-30,37.08504104614258
ACGL,EQUITY,Arch Capital Group Ltd.,Financial Services,Insurance - Diversified,Bermuda,USD,2021-08-31,39.08192825317383
ACGL,EQUITY,Arch Capital Group Ltd.,Financial Services,Insurance - Diversified,Bermuda,USD,2021-09-30,36.30530548095703
ACGL,EQUITY,Arch Capital Group Ltd.,Financial Services,Insurance - Diversified,Bermuda,USD,2021-10-29,39.76657485961914
ACGL,EQUITY,Arch Capital Group Ltd.,Financial Services,Insurance - Diversified,Bermuda,USD,2021-11-30,38.39728546142578
ACGL,EQUITY,Arch Capital Group Ltd.,Financial Services,Insurance - Diversified,Bermuda,USD,2021-12-31,42.26744079589844
ACGL,EQUITY,Arch Capital Group Ltd.,Financial Services,Insurance - Diversified,Bermuda,USD,2022-01-31,44.04561996459961
ACGL,EQUITY,Arch Capital Group Ltd.,Financial Services,Insurance - Diversified,Bermuda,USD,2022-02-28,44.79682922363281
ACGL,EQUITY,Arch Capital Group Ltd.,Financial Services,Insurance - Diversified,Bermuda,USD,2022-03-31,46.042503356933594
ACGL,EQUITY,Arch Capital Group Ltd.,Financial Services,Insurance - Diversified,Bermuda,USD,2022-04-29,43.42753219604492
ACGL,EQUITY,Arch Capital Group Ltd.,Financial Services,Insurance - Diversified,Bermuda,USD,2022-05-31,45.129642486572266
ACGL,EQUITY,Arch Capital Group Ltd.,Financial Services,Insurance - Diversified,Bermuda,USD,2022-06-30,43.25637435913086
ACGL,EQUITY,Arch Capital Group Ltd.,Financial Services,Insurance - Diversified,Bermuda,USD,2022-07-29,42.21989440917969
ACGL,EQUITY,Arch Capital Group Ltd.,Financial Services,Insurance - Diversified,Bermuda,USD,2022-08-31,43.47508239746094
ACGL,EQUITY,Arch Capital Group Ltd.,Financial Services,Insurance - Diversified,Bermuda,USD,2022-09-30,43.30392074584961
ACGL,EQUITY,Arch Capital Group Ltd.,Financial Services,Insurance - Diversified,Bermuda,USD,2022-10-31,54.676666259765625
ACGL,EQUITY,Arch Capital Group Ltd.,Financial Services,Insurance - Diversified,Bermuda,USD,2022-11-30,56.96833038330078
ACGL,EQUITY,Arch Capital Group Ltd.,Financial Services,Insurance - Diversified,Bermuda,USD,2022-12-30,59.69740676879883
ACGL,EQUITY,Arch Capital Group Ltd.,Financial Services,Insurance - Diversified,Bermuda,USD,2023-01-31,61.1903190612793
ACGL,EQUITY,Arch Capital Group Ltd.,Financial Services,Insurance - Diversified,Bermuda,USD,2023-02-28,66.56289672851562
ACGL,EQUITY,Arch Capital Group Ltd.,Financial Services,Insurance - Diversified,Bermuda,USD,2023-03-31,64.53748321533203
ACGL,EQUITY,Arch Capital Group Ltd.,Financial Services,Insurance - Diversified,Bermuda,USD,2023-04-28,71.38394927978516
ACGL,EQUITY,Arch Capital Group Ltd.,Financial Services,Insurance - Diversified,Bermuda,USD,2023-05-31,66.27762603759766
ACGL,EQUITY,Arch Capital Group Ltd.,Financial Services,Insurance - Diversified,Bermuda,USD,2023-06-30,71.17475128173828
ACGL,EQUITY,Arch Capital Group Ltd.,Financial Services,Insurance - Diversified,Bermuda,USD,2023-07-31,73.87530517578125
ACGL,EQUITY,Arch Capital Group Ltd.,Financial Services,Insurance - Diversified,Bermuda,USD,2023-08-31,73.0860595703125
